facility_state,ice_detainers
ALABAMA,10143
ALASKA,51
ARIZONA,16529
ARKANSAS,5801
CALIFORNIA,123894
COLORADO,8079
CONNECTICUT,3033
DELAWARE,1154
DISTRICT OF COLUMBIA,575
FLORIDA,52485
GEORGIA,26261
GUAM,127
HAWAII,182
IDAHO,3152
ILLINOIS,14474
INDIANA,9436
IOWA,3174
KANSAS,4654
KENTUCKY,5696
LOUISIANA,10122
MAINE,322
MARYLAND,6333
MASSACHUSETTS,10846
MICHIGAN,4667
MINNESOTA,7347
MISSISSIPPI,5793
MISSOURI,5050
MONTANA,391
NEBRASKA,2868
NEVADA,6774
NEW HAMPSHIRE,521
NEW JERSEY,14588
NEW MEXICO,1780
NEW YORK,22711
NORTH CAROLINA,14936
NORTH DAKOTA,348
NORTHERN MARIANA ISLANDS,100
OHIO,6189
OKLAHOMA,8584
OREGON,1258
PENNSYLVANIA,8592
PUERTO RICO,1035
RHODE ISLAND,821
SOUTH CAROLINA,10451
SOUTH DAKOTA,1121
TENNESSEE,16421
TEXAS,116757
UTAH,9467
VERMONT,52
VIRGIN ISLANDS,70
VIRGINIA,15138
WASHINGTON,2087
WEST VIRGINIA,733
WISCONSIN,4742
WYOMING,1328
